book_id,book_title,book_description,book_price,author_id,genre_id
1,"To Kill a Monkingbird","Since its original publication in 1960, To Kill a Mockingbird has sold over 30 million copies, won the Pulitzer Prize in 1961, was a New York Times bestseller for more than 40 weeks, and has been translated into 20 languages. This anniversary edition of an American classic features a new Introduction by the author",5.59,1,7
2,"Pride and Prejudice","Pride and Prejudice is an 1813 novel of manners by Jane Austen. The novel follows the character development of Elizabeth Bennet, the dynamic protagonist of the book who learns about the repercussions of hasty judgments and comes to appreciate the difference between superficial goodness and actual goodness.",5.99,2,7
3,Persuasion,"Persuasion tells the story of a second chance, the reawakening of love between Anne Elliot and Captain Frederick Wentworth, whom eight years earlier she had been persuaded not to marry. Wentworth returns from the Napoleonic Wars with prize money and the social acceptability of naval rank.",6.95,2,7
4,"The Great Gatsby","The Great Gatsby is a 1925 novel by American writer F. Scott Fitzgerald. Set in the Jazz Age on Long Island, near New York City, the novel depicts first-person narrator Nick Carraway's interactions with mysterious millionaire Jay Gatsby and Gatsby's obsession to reunite with his former lover, Daisy Buchanan.",7.00,3,7
5,"Tender is the Night","Tender Is the Night is the fourth and final novel completed by American writer F. Scott Fitzgerald. Set in French Riviera during the twilight of the Jazz Age, the 1934 novel chronicles the rise and fall of Dick Diver, a promising young psychiatrist, and his wife, Nicole, who is one of his patients.",5.99,3,7
6,"One Hundred Years of Solitude","One Hundred Years of Solitude is a 1967 novel by Colombian author Gabriel García Márquez that tells the multi-generational story of the Buendía family, whose patriarch, José Arcadio Buendía, founded the town of Macondo. The novel is often cited as one of the supreme achievements in literature.",10.99,4,7
7,"Love in the Time of Cholera","In their youth, Florentino Ariza and Fermina Daza fall passionately in love. When Fermina eventually chooses to marry a wealthy, well-born doctor, Florentino is devastated, but he is a romantic. As he rises in his business career he whiles away the years in 622 affairs--yet he reserves his heart for Fermina. Her husband dies at last, and Florentino purposefully attends the funeral. Fifty years, nine months, and four days after he first declared his love for Fermina, he will do so again",6.99,4,7
8,"Crime and Punishment","Raskolnikov, a former student, lives in poverty and chaos in St. Petersburg. He decides—through contradictory theories, including utilitarian morality and the belief that extraordinary people have the “right to transgress”—to murder Alyona Ivanovna, an elderly pawnbroker.",8.99,5,7
9,"The Brothers Karamazov","The Brothers Karamasov is a murder mystery, a courtroom drama, and an exploration of erotic rivalry in a series of triangular love affairs involving the “wicked and sentimental” Fyodor Pavlovich Karamazov and his three sons―the impulsive and sensual Dmitri; the coldly rational Ivan; and the healthy, red-cheeked young novice Alyosha. Through the gripping events of their story, Dostoevsky portrays the whole of Russian life, is social and spiritual striving, in what was both the golden age and a tragic turning point in Russian culture.",5.99,5,7
10,"To the Lighthouse","To the Lighthouse is a 1927 novel by Virginia Woolf. The novel centres on the Ramsay family and their visits to the Isle of Skye in Scotland between 1910 and 1920.",5.99,6,7
11,"The Waves","The Waves is a 1931 novel by Virginia Woolf and is considered to be her most experimental work. The book consists of soliloquies spoken by six characters Bernard, Susan, Rhoda, Neville, Jinny, and Louis. Also important is Percival, the seventh character, though readers never hear him speak in his own voice.",4.99,6,7
12,"Great Expectations","Great Expectations follows the childhood and young adult years of Pip a blacksmith's apprentice in a country village. He suddenly comes into a large fortune (his great expectations) from a mysterious benefactor and moves to London where he enters high society.",11.99,7,7
